ID;Loan Duration;Credit history;Purpose;Loan Amount;Savings Account;Length of Current Employment;Installment Rate as % of Income;Guarantors;Length of Current Property Residence;Age;Housing;Number of existing loans;Job;Number of dependants;foreign worker;Sex;status;Target2;Target
110;14;Existing Credits Paid Back Duly Till Now;Business;1410;500-1000 DM;more than 6 years;1;None;2;35;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[114, 232, 991, 452, 170, 506, 688, 457, 184, 162, 461, 876, 625, 30]
111;6;Delay in Paying Off in the Past;Business;1449;100-500 DM;more than 6 years;1;None;2;31;Ownership;2;Skilled;2;Yes;male;divorced/separated;1;[499, 492, 393, 451, 913, 196, 627, 562, 960, 601, 193, 358, 329, 89]
112;15;Existing Credits Paid Back Duly Till Now;Education;392;Less than 100 DM;less than 1 year;4;None;4;23;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[922, 797, 221, 623, 633, 837, 795, 372, 350, 817, 337, 513, 47, 869]
113;18;Existing Credits Paid Back Duly Till Now;New car;6260;Less than 100 DM;4-6 years;3;None;3;28;Rented;1;Unskilled - Resident;1;Yes;male;single;1;[353, 32, 224, 454, 557, 107, 53, 719, 841, 323, 442, 962, 366, 459]
114;36;Critical Account / Other Credits Existing at Other Bank;New car;7855;Less than 100 DM;1-3 years;4;None;2;25;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[645, 812, 771, 983, 517, 805, 131, 17, 291, 736, 953, 180, 136, 496]
115;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1680;500-1000 DM;more than 6 years;3;None;1;35;Ownership;1;Skilled;1;Yes;male;married/widowed;1;[232, 109, 162, 506, 461, 625, 688, 991, 365, 799, 759, 803, 138, 170]
116;48;Critical Account / Other Credits Existing at Other Bank;Radio/TV;3578;No Savings Account;more than 6 years;4;None;1;47;Ownership;1;Skilled;1;Yes;male;single;1;[814, 701, 3, 294, 828, 509, 650, 854, 615, 87, 788, 653, 304, 373]
117;42;Existing Credits Paid Back Duly Till Now;Radio/TV;7174;No Savings Account;4-6 years;4;None;3;30;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[968, 569, 444, 945, 36, 255, 616, 226, 677, 706, 287, 295, 70, 57]
118;10;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2132;No Savings Account;less than 1 year;2;Co-applicant;3;27;Rented;2;Skilled;1;No;female;divorced/separated/married;1;[290, 806, 859, 24, 906, 930, 140, 351, 407, 173, 613, 314, 696, 850]
119;33;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;4281;500-1000 DM;1-3 years;1;None;4;23;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[658, 468, 69, 951, 753, 320, 9, 907, 578, 217, 357, 603, 230, 225]
120;12;Critical Account / Other Credits Existing at Other Bank;New car;2366;500-1000 DM;4-6 years;3;None;3;36;Ownership;1;Highly Skilled;1;Yes;male;divorced/separated;1;[566, 799, 759, 461, 38, 365, 803, 103, 747, 617, 586, 625, 271, 852]
121;21;Existing Credits Paid Back Duly Till Now;Radio/TV;1835;Less than 100 DM;1-3 years;3;None;2;25;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[521, 634, 842, 679, 144, 355, 866, 614, 640, 466, 410, 143, 364, 896]
122;24;Critical Account / Other Credits Existing at Other Bank;Used car;3868;Less than 100 DM;more than 6 years;4;None;2;41;Rented;2;Highly Skilled;1;Yes;female;divorced/separated/married;1;[199, 919, 786, 594, 742, 100, 497, 380, 182, 48, 106, 659, 703, 387]
123;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1768;Less than 100 DM;1-3 years;3;None;2;24;Rented;1;Unskilled - Resident;1;Yes;male;single;1;[864, 905, 436, 363, 309, 540, 979, 660, 203, 104, 167, 512, 428, 931]
124;10;Critical Account / Other Credits Existing at Other Bank;New car;781;Less than 100 DM;more than 6 years;4;None;4;63;Free Housing;2;Skilled;1;Yes;male;single;1;[283, 449, 769, 816, 589, 807, 544, 219, 96, 987, 883, 360, 976, 760]
125;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1924;No Savings Account;less than 1 year;4;None;3;27;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[475, 727, 809, 761, 972, 707, 382, 14, 531, 504, 775, 831, 985, 197]
126;12;Critical Account / Other Credits Existing at Other Bank;New car;2121;Less than 100 DM;1-3 years;4;None;2;30;Ownership;2;Skilled;1;Yes;male;single;1;[932, 257, 127, 782, 222, 857, 339, 178, 923, 995, 526, 421, 305, 874]
127;12;Existing Credits Paid Back Duly Till Now;Radio/TV;701;Less than 100 DM;1-3 years;4;None;2;40;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[649, 443, 478, 26, 656, 641, 529, 532, 440, 765, 903, 27, 204, 699]
128;12;Existing Credits Paid Back Duly Till Now;Repairs;639;Less than 100 DM;1-3 years;4;None;2;30;Ownership;1;Skilled;1;Yes;male;single;2;[222, 932, 257, 125, 923, 782, 339, 178, 937, 960, 393, 601, 627, 193]
129;12;Critical Account / Other Credits Existing at Other Bank;Used car;1860;Less than 100 DM;Unemployed;4;None;2;34;Ownership;2;Highly Skilled;1;Yes;male;single;1;[720, 663, 432, 195, 45, 394, 238, 92, 34, 159, 244, 638, 307, 348]
130;12;Critical Account / Other Credits Existing at Other Bank;New car;3499;Less than 100 DM;1-3 years;3;Co-applicant;2;29;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;2;[441, 49, 874, 857, 257, 421, 483, 916, 388, 66, 526, 331, 858, 125]
131;48;Existing Credits Paid Back Duly Till Now;New car;8487;No Savings Account;4-6 years;1;None;2;24;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[134, 226, 295, 332, 677, 333, 616, 706, 255, 945, 968, 116, 714, 805]
132;36;Delay in Paying Off in the Past;Education;6887;Less than 100 DM;1-3 years;4;None;3;29;Ownership;1;Skilled;1;Yes;male;single;2;[645, 983, 113, 771, 812, 291, 70, 789, 17, 180, 805, 496, 968, 671]
133;15;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2708;Less than 100 DM;less than 1 year;2;None;3;27;Ownership;2;Unskilled - Resident;1;Yes;male;single;1;[690, 698, 768, 260, 490, 745, 819, 276, 243, 319, 207, 385, 480, 575]
134;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1984;Less than 100 DM;1-3 years;4;None;4;47;Free Housing;2;Skilled;1;Yes;male;single;1;[844, 609, 282, 702, 149, 712, 427, 81, 891, 588, 289, 839, 354, 989]
135;60;Existing Credits Paid Back Duly Till Now;Radio/TV;10144;100-500 DM;4-6 years;2;None;4;21;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[616, 130, 295, 677, 255, 226, 332, 333, 945, 714, 887, 637, 706, 63]
136;12;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1240;No Savings Account;more than 6 years;4;None;2;38;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[271, 697, 757, 146, 377, 856, 734, 681, 463, 493, 957, 875, 519, 215]
137;27;Delay in Paying Off in the Past;Used car;8613;More than 1000 DM;1-3 years;2;None;2;27;Ownership;2;Skilled;1;Yes;male;single;1;[402, 17, 236, 736, 771, 525, 496, 645, 431, 517, 983, 113, 131, 291]
138;12;Existing Credits Paid Back Duly Till Now;Radio/TV;766;500-1000 DM;1-3 years;4;None;3;66;Ownership;1;Unskilled - Resident;1;Yes;male;single;2;[629, 774, 75, 723, 976, 883, 0, 219, 554, 779, 536, 807, 756, 987]
139;15;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2728;No Savings Account;4-6 years;4;Guarantor;2;35;Ownership;3;Skilled;1;Yes;male;single;1;[28, 447, 688, 232, 114, 506, 416, 162, 991, 461, 799, 365, 344, 109]
140;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1881;Less than 100 DM;1-3 years;2;None;2;44;Rented;1;Unskilled - Resident;1;Yes;female;divorced/separated/married;1;[345, 732, 551, 933, 600, 944, 335, 176, 21, 206, 900, 71, 801, 23]
141;6;Existing Credits Paid Back Duly Till Now;New car;709;More than 1000 DM;less than 1 year;2;None;2;27;Ownership;1;Unemployed / Unskilled  - Non-Resident;1;No;male;married/widowed;1;[351, 806, 173, 314, 290, 117, 696, 270, 850, 407, 24, 906, 859, 930]
142;36;Existing Credits Paid Back Duly Till Now;Radio/TV;4795;Less than 100 DM;less than 1 year;4;None;1;30;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;1;[993, 181, 840, 148, 877, 687, 315, 328, 735, 528, 603, 530, 578, 583]
143;27;Existing Credits Paid Back Duly Till Now;Radio/TV;3416;Less than 100 DM;1-3 years;3;None;2;27;Ownership;1;Highly Skilled;1;Yes;male;single;1;[408, 338, 558, 31, 670, 620, 279, 174, 694, 202, 748, 477, 311, 40]
144;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2462;Less than 100 DM;1-3 years;2;None;2;22;Ownership;1;Skilled;1;Yes;male;single;2;[364, 521, 120, 355, 614, 634, 842, 144, 319, 410, 405, 229, 679, 743]
145;21;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;2288;Less than 100 DM;less than 1 year;4;None;4;23;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[410, 842, 614, 258, 120, 521, 634, 802, 523, 143, 972, 405, 355, 896]
146;48;All Credits at This Bank Paid Back Duly;Business;3566;100-500 DM;4-6 years;4;None;2;30;Ownership;1;Skilled;1;Yes;male;single;1;[667, 444, 273, 999, 286, 789, 242, 706, 11, 35, 639, 1, 332, 116]
147;6;Critical Account / Other Credits Existing at Other Bank;New car;860;Less than 100 DM;more than 6 years;1;None;4;39;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[875, 697, 215, 250, 856, 957, 135, 734, 725, 445, 271, 204, 463, 709]
148;12;Critical Account / Other Credits Existing at Other Bank;New car;682;100-500 DM;4-6 years;4;None;3;51;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[177, 379, 200, 72, 84, 750, 241, 664, 695, 486, 246, 231, 300, 885]
149;36;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;5371;Less than 100 DM;1-3 years;3;Guarantor;2;28;Ownership;2;Skilled;1;Yes;male;single;1;[877, 181, 141, 780, 993, 603, 735, 578, 840, 230, 225, 357, 907, 152]
150;18;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1582;More than 1000 DM;more than 6 years;4;None;4;46;Ownership;2;Skilled;1;Yes;male;single;1;[427, 891, 609, 588, 81, 354, 726, 635, 133, 908, 282, 631, 479, 925]
151;6;Existing Credits Paid Back Duly Till Now;Radio/TV;1346;100-500 DM;more than 6 years;2;None;4;42;Free Housing;1;Skilled;2;Yes;male;single;1;[518, 21, 929, 335, 626, 176, 412, 943, 551, 139, 527, 234, 933, 345]
152;10;Existing Credits Paid Back Duly Till Now;Radio/TV;1924;Less than 100 DM;1-3 years;1;None;4;38;Ownership;1;Skilled;1;No;male;single;1;[413, 892, 494, 488, 264, 325, 897, 515, 247, 516, 941, 297, 270, 871]
153;36;Existing Credits Paid Back Duly Till Now;Radio/TV;5848;Less than 100 DM;1-3 years;4;None;1;24;Ownership;1;Skilled;1;Yes;male;single;1;[357, 780, 230, 194, 476, 217, 101, 225, 998, 907, 639, 148, 789, 35]
154;24;Critical Account / Other Credits Existing at Other Bank;Used car;7758;More than 1000 DM;more than 6 years;2;None;4;29;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[860, 665, 753, 43, 988, 9, 202, 108, 384, 675, 320, 477, 417, 311]
155;24;Delay in Paying Off in the Past;Business;6967;100-500 DM;4-6 years;4;None;4;36;Rented;1;Highly Skilled;1;Yes;male;single;1;[99, 880, 889, 106, 996, 791, 387, 507, 716, 158, 239, 882, 199, 121]
156;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1282;Less than 100 DM;1-3 years;2;None;4;20;Rented;1;Skilled;1;Yes;female;divorced/separated/married;2;[391, 865, 513, 633, 795, 350, 47, 797, 837, 752, 922, 249, 111, 585]
157;9;Critical Account / Other Credits Existing at Other Bank;Repairs;1288;100-500 DM;more than 6 years;3;Guarantor;4;48;Ownership;2;Skilled;2;No;male;single;1;[871, 22, 297, 516, 325, 494, 892, 413, 151, 488, 264, 897, 515, 247]
158;12;All Credits at This Bank Paid Back Duly;retraining;339;Less than 100 DM;more than 6 years;4;None;1;45;Ownership;1;Unskilled - Resident;1;Yes;male;married/widowed;1;[925, 726, 398, 484, 71, 823, 588, 23, 354, 251, 422, 891, 635, 835]
159;24;Existing Credits Paid Back Duly Till Now;New car;3512;100-500 DM;4-6 years;2;None;3;38;Ownership;2;Skilled;1;Yes;male;single;1;[503, 284, 160, 302, 198, 648, 453, 564, 192, 772, 469, 845, 597, 253]
160;6;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1898;No Savings Account;1-3 years;1;None;2;34;Ownership;2;Unskilled - Resident;2;Yes;male;single;1;[348, 210, 244, 394, 663, 909, 128, 720, 595, 307, 416, 34, 432, 92]
161;24;Critical Account / Other Credits Existing at Other Bank;Radio/TV;2872;100-500 DM;more than 6 years;3;None;4;36;Ownership;1;Skilled;2;Yes;male;single;1;[284, 198, 503, 963, 158, 453, 192, 845, 654, 256, 253, 564, 567, 469]
162;18;Critical Account / Other Credits Existing at Other Bank;New car;1055;Less than 100 DM;less than 1 year;4;None;1;30;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[556, 331, 483, 920, 861, 526, 388, 401, 86, 390, 858, 857, 819, 982]
163;15;Existing Credits Paid Back Duly Till Now;Domestic appliances;1262;500-1000 DM;4-6 years;4;None;3;36;Ownership;2;Skilled;1;Yes;male;single;1;[365, 625, 232, 461, 114, 265, 688, 566, 799, 38, 37, 759, 184, 119]
164;10;Existing Credits Paid Back Duly Till Now;New car;7308;Less than 100 DM;Unemployed;2;None;4;70;Free Housing;1;Highly Skilled;1;Yes;male;single;1;[606, 330, 186, 917, 846, 430, 554, 756, 536, 0, 779, 187, 629, 774]
165;36;Existing Credits Paid Back Duly Till Now;New car;909;500-1000 DM;more than 6 years;4;None;4;36;Ownership;1;Skilled;1;Yes;male;single;1;[370, 68, 98, 392, 460, 46, 239, 882, 776, 74, 822, 446, 368, 628]
166;6;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2978;500-1000 DM;1-3 years;1;None;2;32;Ownership;1;Skilled;1;Yes;male;single;1;[275, 278, 898, 595, 767, 909, 318, 210, 305, 462, 348, 995, 185, 689]
167;18;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1131;Less than 100 DM;Unemployed;4;None;2;33;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;2;[853, 717, 419, 602, 376, 608, 172, 474, 682, 644, 464, 327, 414, 755]
168;11;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;1577;More than 1000 DM;less than 1 year;4;None;1;20;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[931, 604, 471, 610, 836, 308, 550, 12, 873, 708, 934, 632, 428, 188]
169;24;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;3972;Less than 100 DM;4-6 years;2;None;4;25;Rented;1;Skilled;1;Yes;female;divorced/separated/married;1;[341, 770, 347, 570, 359, 952, 334, 733, 218, 724, 618, 593, 565, 596]
170;24;Critical Account / Other Credits Existing at Other Bank;Business;1935;Less than 100 DM;more than 6 years;4;None;4;31;Ownership;2;Skilled;1;Yes;male;divorced/separated;2;[918, 321, 855, 740, 547, 299, 942, 718, 423, 535, 577, 433, 704, 974]
171;15;No Credits Taken / All Credits Paid Back Duly;New car;950;Less than 100 DM;more than 6 years;4;None;3;33;Rented;2;Skilled;2;Yes;male;single;2;[991, 852, 506, 452, 238, 109, 349, 457, 114, 759, 92, 184, 362, 711]
172;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;763;Less than 100 DM;1-3 years;4;None;1;26;Ownership;1;Skilled;1;Yes;female;divorced/separated/married;1;[424, 647, 439, 102, 389, 934, 661, 435, 576, 821, 708, 722, 673, 548]
173;24;Delay in Paying Off in the Past;Furniture/Equipment;2064;Less than 100 DM;Unemployed;3;None;2;34;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[602, 729, 862, 433, 535, 327, 592, 414, 423, 577, 437, 546, 419, 853]
174;8;Existing Credits Paid Back Duly Till Now;Radio/TV;1414;Less than 100 DM;1-3 years;4;Guarantor;2;33;Ownership;1;Skilled;1;No;male;single;1;[140, 314, 696, 351, 270, 806, 850, 290, 941, 407, 117, 247, 906, 515]
175;21;Delay in Paying Off in the Past;Education;3414;Less than 100 DM;less than 1 year;2;None;1;26;Ownership;2;Skilled;1;Yes;male;single;2;[366, 620, 558, 31, 841, 338, 442, 694, 408, 248, 279, 142, 670, 748]
176;30;All Credits at This Bank Paid Back Duly;Used car;7485;No Savings Account;Unemployed;4;None;1;53;Ownership;1;Highly Skilled;1;Yes;female;divorced/separated/married;2;[980, 881, 924, 397, 211, 214, 212, 815, 956, 669, 65, 683, 317, 728]
177;12;Existing Credits Paid Back Duly Till Now;Furniture/Equipment;2577;Less than 100 DM;1-3 years;2;None;1;42;Ownership;1;Skilled;1;Yes;male;divorced/separated;1;[335, 929, 412, 867, 345, 206, 21, 933, 139, 518, 150, 693, 479, 900]
178;6;Critical Account / Other Credits Existing at Other Bank;Radio/TV;338;500-1000 DM;more than 6 years;4;None;4;52;Ownership;2;Skilled;1;Yes;male;single;1;[200, 147, 379, 72, 84, 246, 241, 750, 486, 231, 300, 885, 695, 664]
179;12;Existing Credits Paid Back Duly Till Now;Radio/TV;1963;Less than 100 DM;4-6 years;4;None;2;31;Rented;2;Highly Skilled;2;Yes;male;single;1;[339, 923, 782, 222, 995, 932, 127, 125, 305, 937, 257, 767, 960, 193]
180;21;Critical Account / Other Credits Existing at Other Bank;New car;571;Less than 100 DM;more than 6 years;4;None;4;65;Ownership;2;Skilled;1;Yes;male;single;1;[678, 213, 838, 237, 465, 360, 487, 624, 541, 760, 781, 784, 13, 715]
181;36;Delay in Paying Off in the Past;Business;9572;Less than 100 DM;less than 1 year;1;None;1;28;Ownership;2;Skilled;1;Yes;male;divorced/separated;2;[291, 70, 983, 496, 57, 812, 953, 684, 805, 645, 895, 450, 771, 736]
182;36;Delay in Paying Off in the Past;Business;4455;Less than 100 DM;1-3 years;2;None;2;30;Ownership;2;Highly Skilled;1;Yes;male;divorced/separated;2;[141, 148, 603, 735, 993, 877, 840, 578, 780, 687, 907, 357, 315, 230]
183;21;All Credits at This Bank Paid Back Duly;New car;1647;No Savings Account;1-3 years;4;None;2;40;Ownership;2;Unskilled - Resident;2;Yes;male;single;2;[742, 594, 674, 591, 786, 977, 497, 100, 830, 545, 121, 380, 919, 950]
184;24;Critical Account / Other Credits Existing at Other Bank;Furniture/Equipment;3777;More than 1000 DM;1-3 years;4;None;4;50;Ownership;1;Skilled;1;Yes;male;single;1;[793, 773, 843, 560, 4, 662, 190, 607, 796, 212, 6, 65, 702, 16]
185;18;Critical Account / Other Credits Existing at Other Bank;New car;884;Less than 100 DM;more than 6 years;4;None;4;36;Ownership;1;Skilled;2;Yes;male;single;2;[852, 625, 457, 109, 162, 365, 461, 759, 114, 681, 232, 803, 265, 170]
186;15;Critical Account / Other Credits Existing at Other Bank;Radio/TV;1360;Less than 100 DM;1-3 years;4;None;2;31;Ownership;2;Skilled;1;Yes;male;single;1;[318, 621, 710, 894, 644, 474, 682, 898, 421, 995, 689, 275, 526, 767]
187;9;All Credits at This Bank Paid Back Duly;Used car;5129;Less than 100 DM;more than 6 years;2;None;4;74;Free Housing;1;Highly Skilled;2;Yes;female;divorced/separated/married;2;[430, 606, 163, 554, 756, 536, 0, 846, 330, 917, 187, 779, 774, 629]
188;16;Critical Account / Other Credits Existing at Other Bank;New car;1175;Less than 100 DM;Unemployed;2;None;3;68;Free Housing;3;Unemployed / Unskilled  - Non-Resident;1;Yes;male;single;1;[0, 756, 554, 774, 536, 186, 430, 75, 137, 606, 629, 163, 779, 846]
189;12;Existing Credits Paid Back Duly Till Now;Radio/TV;674;100-500 DM;4-6 years;4;None;1;20;Ownership;1;Skilled;1;Yes;male;married/widowed;2;[632, 228, 428, 555, 67, 964, 836, 708, 550, 610, 12, 934, 254, 931]
190;18;No Credits Taken / All Credits Paid Back Duly;Furniture/Equipment;3244;Less than 100 DM;1-3 years;1;None;4;33;Ownership;2;Skilled;1;Yes;female;divorced/separated/married;1;[826, 705, 543, 785, 97, 749, 608, 464, 324, 452, 30, 737, 537, 853]
191;24;Existing Credits Paid Back Duly Till Now;Business;4591;More than 1000 DM;1-3 years;2;None;3;54;Ownership;3;Highly Skilled;1;Yes;male;single;2;[773, 6, 793, 4, 16, 183, 514, 800, 662, 798, 843, 560, 796, 227]
192;48;No Credits Taken / All Credits Paid Back Duly;Business;3844;100-500 DM;4-6 years;4;None;4;34;Free Housing;1;Unskilled - Resident;2;Yes;male;single;2;[981, 986, 36, 76, 552, 287, 511, 467, 569, 444, 671, 7, 116, 968]
193;27;Existing Credits Paid Back Duly Till Now;Business;3915;Less than 100 DM;1-3 years;4;None;2;36;Ownership;1;Skilled;2;Yes;male;single;2;[253, 845, 469, 564, 597, 963, 284, 160, 654, 567, 198, 256, 666, 453]
